days.origin	days.water	days.manure	code	NO	N2O	CO2	CH4	NH3	H2O
37.663194	29.577778	9.625	GWL02	20.8561	157.7940	92.3399	28.1436	151.1000	11808.0734
37.788194	29.702778	9.75	GWL02	15.4205	150.1454	92.2757	27.4713	146.4550	12062.9862
37.913194	29.827778	9.875	GWL02	11.1860	132.7870	94.9855	28.0540	144.3770	13193.6217
38.038194	29.952778	10	GWL02	11.7263	111.2611	97.0496	26.9209	137.0590	11437.7021
38.163194	30.077778	10.125	GWL02	11.2136	87.3797	96.1977	26.4855	131.9935	10637.5986
38.288194	30.202778	10.25	GWL02	10.8943	95.4470	94.1369	25.3065	129.5520	11666.1757
38.413194	30.327778	10.375	GWL02	10.4068	131.8194	93.0152	26.5949	129.0602	13289.1674
38.538194	30.452778	10.5	GWL02	9.9228	101.8380	91.8266	25.5791	126.1931	13821.4325
38.663194	30.577778	10.625	GWL02	11.4757	119.1402	93.0437	23.8068	123.0617	13669.2399
38.788194	30.702778	10.75	GWL02	10.9916	130.6391	93.2421	24.2471	119.1068	13463.6125
38.913194	30.827778	10.875	GWL02	8.7575	110.8052	91.9939	25.4326	114.1431	13217.9204
39.038194	30.952778	11	GWL02	8.7611	105.5638	92.7287	30.7546	109.6637	13257.1124
39.163194	31.077778	11.125	GWL02	8.7207	121.0486	93.8480	73.0979	106.7781	13045.1716
39.288194	31.202778	11.25	GWL02	8.5104	119.3717	93.5798	67.9354	103.0170	11890.1808
39.413194	31.327778	11.375	GWL02	8.3233	89.8894	93.7860	32.2833	101.0359	11782.1736
39.538194	31.452778	11.5	GWL02	8.1244	85.2090	94.4164	32.0725	100.6512	12254.9253
39.663194	31.577778	11.625	GWL02	8.2203	91.0436	92.6599	31.8122	97.0885	11326.4782
39.788194	31.702778	11.75	GWL02	8.0578	89.0032	92.9778	29.9733	93.3586	10357.7395
39.913194	31.827778	11.875	GWL02	7.5339	80.2313	94.7148	30.6093	91.5455	10875.2135
40.038194	31.952778	12	GWL02	7.4910	64.1344	93.5432	29.6094	92.6810	12335.6657
40.163194	32.077778	12.125	GWL02	7.5676	62.2941	94.0902	32.1239	92.2738	12102.5156
40.288194	32.202778	12.25	GWL02	7.5075	76.4854	97.2108	32.6639	89.4345	11171.5865
40.413194	32.327778	12.375	GWL02	7.4288	82.1040	98.8802	28.1911	87.2141	10967.8853
40.538194	32.452778	12.5	GWL02	7.5262	78.4198	99.0919	28.0780	84.0422	10503.3960
40.663194	32.577778	12.625	GWL02	8.2987	77.7534	98.0573	41.5863	82.5253	11214.9013
40.788194	32.702778	12.75	GWL02	8.1015	88.3368	96.9255	39.8522	80.6647	11191.3002
40.913194	32.827778	12.875	GWL02	7.3502	79.6307	98.5120	29.1600	79.7798	11892.5724
41.038194	32.952778	13	GWL02	7.4800	61.4621	98.2224	30.9309	80.1989	13067.6210
41.163194	33.077778	13.125	GWL02	7.4186	67.4855	98.3167	32.0439	78.3316	12212.6209
41.288194	33.202778	13.25	GWL02	7.1607	74.8233	98.1576	32.0749	76.2035	11667.4338
41.413194	33.327778	13.375	GWL02	7.3187	77.3011	97.5613	31.1999	74.2625	10974.0979
41.538194	33.452778	13.5	GWL02	7.4272	72.0597	96.5852	35.4696	73.4752	10838.3492
41.663194	33.577778	13.625	GWL02	7.6902	51.8281	96.9048	35.1529	73.2497	11739.8134
41.788194	33.702778	13.75	GWL02	8.0443	37.3287	98.8684	30.8261	72.7460	11988.2180
41.913194	33.827778	13.875	GWL02	8.2054	32.0832	99.7821	30.6563	72.5307	11754.9763
42.038194	33.952778	14	GWL02	8.3894	43.0205	100.4678	30.4052	71.3128	11120.7955
42.163194	34.077778	14.125	GWL02	8.6244	72.8725	100.2251	30.3494	69.0942	9986.9424
42.288194	34.202778	14.25	GWL02	8.9066	71.9824	100.0718	30.5506	69.6261	10659.5972
42.413194	34.327778	14.375	GWL02	9.0098	41.5356	100.0843	46.3030	70.9347	12666.3781
42.538194	34.452778	14.5	GWL02	8.6772	7.2859	98.6893	71.1689	69.2763	11721.3566
42.663194	34.577778	14.625	GWL02	8.6486	33.1616	100.1579	53.8967	66.8597	10767.3495
42.788194	34.702778	14.75	GWL02	8.5344	59.3640	100.0772	44.1492	66.9622	12436.1826
42.913194	34.827778	14.875	GWL02	7.7852	63.8687	101.8156	43.0632	66.2446	12986.7647
43.038194	34.952778	15	GWL02	7.6810	46.3557	102.0252	44.3271	65.0862	12578.3499
43.163194	35.077778	15.125	GWL02	7.6113	58.7024	102.1893	39.3967	63.5808	11858.3987
43.288194	35.202778	15.25	GWL02	7.6141	76.6844	102.1070	42.6441	61.5347	11464.7873
43.413194	35.327778	15.375	GWL02	7.3590	106.5594	101.0526	50.8148	61.6977	12569.9449
43.538194	35.452778	15.5	GWL02	7.3799	72.1368	102.3957	53.1392	59.3976	11856.2338
43.663194	35.577778	15.625	GWL02	7.4160	74.7114	101.4718	48.4349	57.6802	11027.0352
43.788194	35.702778	15.75	GWL02	7.1983	52.7772	100.5415	42.0811	58.0995	11919.1795
43.913194	35.827778	15.875	GWL02	6.9285	44.4734	98.8277	42.3875	56.6043	11065.9318
44.038194	35.952778	16	GWL02	6.9690	76.3894	102.3529	52.2826	55.9270	11381.9356
44.163194	36.077778	16.125	GWL02	6.9224	92.5970	102.5616	69.3871	55.5993	11415.4979
44.288194	36.202778	16.25	GWL02	6.9787	83.3569	101.5998	56.2370	56.1063	12116.6541
44.413194	36.327778	16.375	GWL02	7.1173	83.5461	100.7135	58.2643	54.1818	10711.0235
44.538194	36.452778	16.5	GWL02	7.0789	77.2568	100.5537	66.6363	55.3598	11314.2851
