time	epoch_time	flow	exhaust	p_flow	N2O_ppb	CO2_ppm	CH4_ppb	H2O_ppm	NH3_ppb	bin_INC2	bin_INC_valve
2015-08-21 21:54:00	1440194040	374.8187	72.2596	49.1602	422.9910	400.9690	3985.5200	3849.0740	  11.9570	1-0-00-0000-0000	0001
2015-08-22 00:54:00	1440204840	374.7635	72.4579	49.1463	435.1650	400.5240	3985.8680	4185.1030	  11.7540	1-0-00-0000-0000	0001
2015-08-22 03:54:00	1440215640	374.8007	72.5137	49.1602	414.4540	400.6220	3984.6100	3175.1950	  10.8460	1-0-00-0000-0000	0001
2015-08-22 06:54:00	1440226440	374.7752	72.6324	49.1623	420.4290	400.7170	3984.8000	3065.8720	  10.6220	1-0-00-0000-0000	0001
2015-08-22 09:54:00	1440237240	374.7814	73.2521	49.1664	416.0840	401.0430	3984.3230	3599.7770	  11.6890	1-0-00-0000-0000	0001
2015-08-22 12:54:00	1440248040	374.8359	74.1682	49.1720	414.1820	401.1660	3985.0850	4485.4520	  12.4840	1-0-00-0000-0000	0001
2015-08-22 15:54:00	1440258840	374.7759	74.7305	49.3449	421.3550	400.6700	3985.5550	4497.6150	  12.0350	1-0-00-0000-0000	0001
2015-08-22 18:54:00	1440269640	374.7828	74.5607	49.1720	414.9870	400.9310	3985.8050	4006.3500	  11.3760	1-0-00-0000-0000	0001
2015-08-22 21:54:00	1440280440	374.8290	74.3345	49.1553	409.4360	400.7220	3984.4830	4063.1380	  12.1540	1-0-00-0000-0000	0001
2015-08-23 00:54:00	1440291240	374.8014	74.8456	49.1567	422.1190	400.7680	3985.3600	3499.9150	  10.5230	1-0-00-0000-0000	0001
2015-08-23 03:54:00	1440302040	374.7910	75.2054	49.1707	439.0690	401.0010	3984.0290	3972.8440	  10.9400	1-0-00-0000-0000	0001
2015-08-23 06:54:00	1440312840	374.7745	75.0893	49.1671	423.2460	401.3430	3984.9560	3564.9090	  11.5790	1-0-00-0000-0000	0001
2015-08-23 09:54:00	1440323640	374.7925	75.7989	49.1657	422.5180	401.0860	3986.1960	3384.1030	   9.8580	1-0-00-0000-0000	0001
2015-08-23 12:54:00	1440334440	374.7704	76.4538	49.1734	427.4130	400.9620	3985.5390	4707.4360	  12.3690	1-0-00-0000-0000	0001
2015-08-23 15:54:00	1440345240	374.8290	76.7217	49.1713	424.7060	400.8270	3985.7740	3397.9820	  10.3560	1-0-00-0000-0000	0001
2015-08-23 18:54:00	1440356040	374.7538	76.9840	49.1834	425.1950	400.8470	3986.4710	3394.1070	  11.2220	1-0-00-0000-0000	0001
2015-08-23 21:54:00	1440366840	374.7586	76.5229	49.1741	415.8200	401.3970	3985.0370	2996.6750	  10.1070	1-0-00-0000-0000	0001
2015-08-24 00:54:00	1440377640	374.7676	76.4412	49.1644	420.9210	400.7190	3984.5460	3595.5530	  10.9510	1-0-00-0000-0000	0001
2015-08-24 03:54:00	1440388440	374.7897	76.7212	49.1616	425.4610	400.9700	3985.5060	3152.2640	   9.9390	1-0-00-0000-0000	0001
2015-08-24 06:54:00	1440399240	374.7773	76.5554	49.1650	412.8780	401.0490	3986.0270	3404.8660	  10.2950	1-0-00-0000-0000	0001
2015-08-24 09:54:00	1440410040	374.7973	76.8522	49.1734	428.0940	401.6430	3985.1560	4345.0570	  11.0620	1-0-00-0000-0000	0001
2015-08-24 12:54:00	1440420840	374.8187	77.7886	49.1734	425.1580	400.9760	3985.7080	3753.8980	  11.2180	1-0-00-0000-0000	0001
2015-08-26 15:42:00	1440603720	374.8284	77.8575	49.1685	412.4310	400.3990	3986.1900	6774.5240	  17.8400	1-0-00-0000-0000	0001
2015-08-26 18:42:00	1440614520	374.8063	77.6880	49.1616	426.9050	401.1380	3985.3680	5529.7040	  14.9660	1-0-00-0000-0000	0001
2015-08-26 21:42:00	1440625320	374.8166	77.4554	49.1664	411.4050	400.5820	3985.6740	3651.9660	  12.3970	1-0-00-0000-0000	0001
2015-08-27 00:42:00	1440636120	374.7780	77.2684	49.1616	421.7560	400.5390	3986.5020	4415.0310	  13.5560	1-0-00-0000-0000	0001
2015-08-27 03:42:00	1440646920	374.7897	77.3206	49.1650	420.0270	400.8460	3986.1400	4090.8820	  12.1580	1-0-00-0000-0000	0001
